0--INFINITYM_BELOW_GROUND      地表下0米至无穷远
PRIMARY_WAVE_MEAN_PERIOD      基础涌浪平均周期
PRMSL      海平面气压
PRMSL_CHANGE_24H      24小时变压
PRMSL_CHANGE_48H      48小时变压
PRMSL_GLOBAL_STATION      全球站海平面气压
PRMSL_NATIONAL      国家站海平面气压
PRMSL_UNCLIPPED      海平面气压(未裁剪)
PROBABILITY_OF_MEAN_WAVE_PERIOD_GREATER_THAN_10S      海浪周期均值大于等于10秒概率
PROBABILITY_OF_MEAN_WAVE_PERIOD_GREATER_THAN_12S      海浪周期均值大于等于12秒概率
PROBABILITY_OF_MEAN_WAVE_PERIOD_GREATER_THAN_15S      海浪周期均值大于等于15秒概率
PROBABILITY_OF_MEAN_WAVE_PERIOD_GREATER_THAN_8S      海浪周期均值大于等于8秒概率
PROBABILITY_OF_SIGNIFICANT_WAVE_HEIGHT_GREATER_THAN_2M      有效浪高大于2米概率
PROBABILITY_OF_SIGNIFICANT_WAVE_HEIGHT_GREATER_THAN_4M      有效浪高大于4米概率
PROBABILITY_OF_SIGNIFICANT_WAVE_HEIGHT_GREATER_THAN_6M      有效浪高大于6米概率
PROBABILITY_OF_SIGNIFICANT_WAVE_HEIGHT_GREATER_THAN_8M      有效浪高大于8米概率
PRODUCTS      雷达PUP产品
PVORT      位涡
PWAT      可降水量
QC_BY_FSOL      系统室质量控制产品      
QPE      定量降水估测
QPE001      1小时降水估计
QPE003      3小时降水估计
QPE006      6小时降水估计
QPE024      24小时降水估计
QREF      全国雷达基本反射率拼图
RADARMOSAIC      雷达拼图
RADAR_COMBINATION_REFLECTIVITY      雷达组合反射率
RADAR_REFLECTIVITY      雷达反射率
RAIN01      1小时降水
RAIN01_ALL_STATION      国家站区域站1小时降水
RAIN01_BI_DATA_SOURCE      二源融合1小时降水
RAIN01_GLOBAL_STATION      全球站1小时降水
RAIN01_NATIONAL      国家站1小时降水
RAIN01_TRI_DATA_SOURCE      三源融合1小时降水
RAIN01_UNCLIPPED      1小时降水(未裁剪)
RAIN03      3小时降水
RAIN03_BI_DATA_SOURCE      二源融合3小时降水
RAIN03_GLOBAL      全球3小时降水
RAIN03_GLOBAL_STATION      全球站3小时降水
RAIN03_NATIONAL      国家站3小时降水
RAIN03_TRI_DATA_SOURCE      三源融合3小时降水
RAIN03_UNCLIPPED      3小时降水(未裁剪)
RAIN06      6小时降水
RAIN06_GLOBAL_STATION      全球站6小时降水
RAIN06_NATIONAL      国家站6小时降水
RAIN06_UNCLIPPED      6小时降水(未裁剪)
RAIN12      12小时降水
RAIN12_GLOBAL_STATION      全球站12小时降水
RAIN12_NATIONAL      国家站12小时降水
RAIN12_UNCLIPPED      12小时降水(未裁剪)
RAIN24      24小时降水
RAIN24_BI_DATA_SOURCE      二源融合24小时降水
RAIN24_GLOBAL_STATION      全球站24小时降水
RAIN24_NATIONAL      国家站24小时降水
RAIN24_NATIONAL_05-05      国家站24小时降水_05-05
RAIN24_NATIONAL_08-08      国家站24小时降水_08-08
RAIN24_NATIONAL_14-14      国家站24小时降水_14-14
RAIN24_NATIONAL_20-20      国家站24小时降水_20-20
RAIN24_TRI_DATA_SOURCE      三源融合24小时降水
RAIN24_UNCLIPPED      24小时降水(未裁剪)
RAINC01      1小时对流性降水
RAINC01_UNCLIPPED      1小时对流性降水(未裁剪)
RAINC03      3小时对流性降水
RAINC03_UNCLIPPED      3小时对流性降水(未裁剪)
RAINC06      6小时对流性降水
RAINC06_UNCLIPPED      6小时对流性降水(未裁剪)
RAINC12      12小时对流性降水
RAINC12_UNCLIPPED      12小时对流性降水(未裁剪)
RAINC24      24小时对流性降水
RAINC24_UNCLIPPED      24小时对流性降水(未裁剪)
RAIN_LARGE_SCALE01      1小时大尺度降水
RAIN_LARGE_SCALE03      3小时大尺度降水
RAIN_LARGE_SCALE06      6小时大尺度降水
RAIN_LARGE_SCALE12      12小时大尺度降水
RAIN_LARGE_SCALE24      24小时大尺度降水
RAIN_MIXING_RATIO      雨水混合比
RBOAT_1H      全球海洋海面观测1小时填图
RBOUY_1H      浮标观测1小时填图
RDIV      相对散度
REFLECTIVITY      反射率
RGWST_1H      1小时沿海自动站填图
RH      相对湿度
RH_ALL_STATION      国家站区域站1小时相对湿度
RH_GLOBAL_STATION      全球站相对湿度
RH_NATIONAL      国家站1小时相对湿度
RICHARDSON_NUMBER      理查森数
ROCEA_1H      全球海洋深水观测1小时填图
ROUGHNESS      粗糙度
RSHIP_1H      中国船舶观测1小时填图
RSR      反射短波辐射
RTOFS      NCEP全球海洋环境模式
RVOR      相对涡度
SAND      沙尘
SATELLITE      卫星
SDEN      雪密度
SEA_FOG      海雾
SEA_SURF_SALNITY      海表盐度
SEA_WATER_POTENTIAL_DENSITY      海水位密度
SECONDARY_SWELL_WAVE_HEIGHT      二级涌浪波高
SECONDARY_SWELL_WAVE_LENGTH      二级涌浪平均波长
SECONDARY_WAVE_DIRECTION      二级涌浪平均浪向
SECONDARY_WAVE_MEAN_PERIOD      二级涌浪平均周期
SENSIBLE_HEAT_NET_FLUX      感热净通量
SHANGHAI_HR      上海3公里区域模式
SHANGHAI_MR      上海9公里区域模式
SHOWALTER_INDEX      沙氏指数
SHWW      有效风浪高度
SHWW_UNCLIPPED      有效风浪高度(未裁剪)
SIGNIFICANT_HEIGHT_OF_COMBINED_WIND_WAVES_AND_SWELL      有效波高(包含风浪和涌浪)
SIGNIFICANT_HEIGHT_OF_SWELL_WAVES      涌浪有效波高
SIGNIFICANT_HEIGHT_OF_WIND_WAVES      风浪有效波高
SINGLERADAR      单站雷达
SKINT      地表温度
SNC      积雪覆盖
SNOD      积雪深度
SNOW      降雪
SNOW01      1小时降雪
SNOW03      3小时降雪
SNOW03_UNCLIPPED      3小时降雪(未裁剪)
SNOW06      6小时降雪
SNOW06_UNCLIPPED      6小时降雪(未裁剪)
SNOW12      12小时降雪
SNOW12_UNCLIPPED      12小时降雪(未裁剪)
SNOW24      24小时降雪
SNOW24_UNCLIPPED      24小时降雪(未裁剪)
SNOW_DEPTH_GLOBAL_STATION      全球站积雪深度
SNOW_DEPTH_NATIONAL      国家站积雪深度
SNOW_MELT      降雪
SNOW_MIXING_RATIO      雪水混合比
SOIL_TEMPERATURE      土壤温度
SPECIFIC_CLOUD_ICE_WATER_CONTENT      云冰量
SPECIFIC_CLOUD_LIQUID_WATER_CONTENT      云液态水含量
SPFH      比湿
SRHE      风暴相对螺旋度
SSI      地面入射太阳辐射
SST      海表温度
SST_UNCLIPPED      海表温度(未裁剪)
STATISTICS      统计量
STORM_RELATIVE_HELICITY      风暴螺旋度
STORM_SEVERITY_INDEX      风暴强度指数
STREAM_RUNCTION      流场
STRONG_CONVECTION_PROBABILITY_FORECAST      强对流天气概率预报
SUNSHINE_DURATION      日照时间
SURFACE      地面
SURFACE_CLEAR_SKY_DOWNWARD_LONG_WAVE      地表晴空向下长波辐射
SURFACE_VAPOUR_FLUX      地表水汽通量
SURFACE_WATER_RESERVOIR_LEVELS      表面蓄水池含量
SWEAT_INDEX      强天气胁迫指数
SWH      海浪高度
SWH_UNCLIPPED      海浪高度(未裁剪)
T639      T639
TBB      云顶亮温
TBBC007      相对黑体温度C007
TBBC008      相对黑体温度C008
TBBC009      相对黑体温度C009
TBBC010      相对黑体温度C010
TBBC011      相对黑体温度C011
TBBC012      相对黑体温度C012
TBBC013      相对黑体温度C013
TBBC014      相对黑体温度C014
TCDC      总云量
TCDC_UNCLIPPED      总云量(未裁剪)
TCW      气柱总含水量
TCWV      气柱总水汽
TEMPERATURE_ANOMALY_LESS_THAN_4K      温度异常小于+4K
TEMPERATURE_ANOMALY_LESS_THAN_8K      温度异常小于+8K
TEMPERATURE_ANOMALY_MORE_THAN_4K      温度异常大于+4K
TEMPERATURE_ANOMALY_MORE_THAN_8K      温度异常大于+8K
TFP      对流层顶折叠检测
THETA      位温
THETASE      假相当位温
THE_PROBABILITY_OF_2M_TEMPERATURE_GREATER_THAN_35DEGREES_OBTAINED_BY_THE_STATION_TERRAIN_CORRECTION_OVER_CHINA      中国区域站点地形订正2米温度大于35度概率
THE_PROBABILITY_OF_2M_TEMPERATURE_GREATER_THAN_37DEGREES_OBTAINED_BY_THE_STATION_TERRAIN_CORRECTION_OVER_CHINA      中国区域站点地形订正2米温度大于37度概率
THE_PROBABILITY_OF_2M_TEMPERATURE_GREATER_THAN_40DEGREES_OBTAINED_BY_THE_STATION_TERRAIN_CORRECTION_OVER_CHINA      中国区域站点地形订正2米温度大于40度概率
THE_PROBABILITY_OF_2M_TEMPERATURE_LESS_THAN_-2DEGREES_OBTAINED_BY_THE_STATION_TERRAIN_CORRECTION_OVER_CHINA      中国区域站点地形订正2米温度小于-2度概率
THE_PROBABILITY_OF_2M_TEMPERATURE_LESS_THAN_-4DEGREES_OBTAINED_BY_THE_STATION_TERRAIN_CORRECTION_OVER_CHINA      中国区域站点地形订正2米温度小于-4度概率
THE_PROBABILITY_OF_2M_TEMPERATURE_LESS_THAN_0DEGREES_OBTAINED_BY_THE_STATION_TERRAIN_CORRECTION_OVER_CHINA      中国区域站点地形订正2米温度小于0度概率
THE_PROBABILITY_OF_FORECASTING_OF_GLOBAL_24H_ACCUMULATIVE_RAINFALL_GREATER_THAN_0.1MM      全球24小时累计降水预报大于0.1mm概率
THE_PROBABILITY_OF_FORECASTING_OF_GLOBAL_24H_ACCUMULATIVE_RAINFALL_GREATER_THAN_100MM      全球24小时累计降水预报大于100mm概率
THE_PROBABILITY_OF_FORECASTING_OF_GLOBAL_24H_ACCUMULATIVE_RAINFALL_GREATER_THAN_10MM      全球24小时累计降水预报大于10mm概率
